"Participation rate, Australia, August 1966 to January 2024, Seasonally adjusted"
,"Persons (%)","Males (%)","Females (%)"
"Aug-66","60.2","84.2","36.6"
"Sep-66","60.2","84.2","36.6"
"Oct-66","60.2","84.0","36.8"
"Nov-66","60.2","84.0","36.8"
"Dec-66","60.2","84.0","36.8"
"Jan-67","60.2","83.9","37.0"
"Feb-67","60.2","83.9","37.0"
"Mar-67","60.2","83.9","37.0"
"Apr-67","60.2","83.8","37.1"
"May-67","60.2","83.8","37.1"
"Jun-67","60.2","83.8","37.1"
"Jul-67","60.4","83.8","37.5"
"Aug-67","60.4","83.8","37.5"
"Sep-67","60.4","83.8","37.5"
"Oct-67","60.4","83.8","37.4"
"Nov-67","60.4","83.8","37.4"
"Dec-67","60.4","83.8","37.4"
"Jan-68","60.4","83.6","37.7"
"Feb-68","60.4","83.6","37.7"
"Mar-68","60.4","83.6","37.7"
"Apr-68","60.5","83.5","37.9"
"May-68","60.5","83.5","37.9"
"Jun-68","60.5","83.5","37.9"
"Jul-68","60.5","83.4","38.0"
"Aug-68","60.5","83.4","38.0"
"Sep-68","60.5","83.4","38.0"
"Oct-68","60.3","83.3","37.7"
"Nov-68","60.3","83.3","37.7"
"Dec-68","60.3","83.3","37.7"
"Jan-69","60.6","83.4","38.2"
"Feb-69","60.6","83.4","38.2"
"Mar-69","60.6","83.4","38.2"
"Apr-69","60.5","83.1","38.1"
"May-69","60.5","83.1","38.1"
"Jun-69","60.5","83.1","38.1"
"Jul-69","60.5","82.9","38.4"
"Aug-69","60.5","82.9","38.4"
"Sep-69","60.5","82.9","38.4"
"Oct-69","60.9","83.1","39.2"
"Nov-69","60.9","83.1","39.2"
"Dec-69","60.9","83.1","39.2"
"Jan-70","61.0","83.3","39.2"
"Feb-70","61.0","83.3","39.2"
"Mar-70","61.0","83.3","39.2"
"Apr-70","61.4","83.3","39.7"
"May-70","61.4","83.3","39.7"
"Jun-70","61.4","83.3","39.7"
"Jul-70","61.5","83.4","40.0"
"Aug-70","61.5","83.4","40.0"
"Sep-70","61.5","83.4","40.0"
"Oct-70","61.5","83.0","40.4"
"Nov-70","61.5","83.0","40.4"
"Dec-70","61.5","83.0","40.4"
"Jan-71","61.4","82.8","40.5"
"Feb-71","61.4","82.8","40.5"
"Mar-71","61.4","82.8","40.5"
"Apr-71","61.8","83.1","40.9"
"May-71","61.8","83.1","40.9"
"Jun-71","61.8","83.1","40.9"
"Jul-71","61.3","82.7","40.4"
"Aug-71","61.3","82.7","40.4"
"Sep-71","61.3","82.7","40.4"
"Oct-71","61.1","82.6","39.9"
"Nov-71","61.1","82.6","39.9"
"Dec-71","61.1","82.6","39.9"
"Jan-72","61.1","82.6","39.9"
"Feb-72","61.1","82.6","39.9"
"Mar-72","61.1","82.6","39.9"
"Apr-72","61.2","82.6","40.1"
"May-72","61.2","82.6","40.1"
"Jun-72","61.2","82.6","40.1"
"Jul-72","61.7","82.8","41.0"
"Aug-72","61.7","82.8","41.0"
"Sep-72","61.7","82.8","41.0"
"Oct-72","61.9","82.7","41.5"
"Nov-72","61.9","82.7","41.5"
"Dec-72","61.9","82.7","41.5"
"Jan-73","61.8","82.3","41.7"
"Feb-73","61.8","82.3","41.7"
"Mar-73","61.8","82.3","41.7"
"Apr-73","61.6","82.0","41.5"
"May-73","61.6","82.0","41.5"
"Jun-73","61.6","82.0","41.5"
"Jul-73","61.9","82.5","41.9"
"Aug-73","61.9","82.5","41.9"
"Sep-73","61.9","82.5","41.9"
"Oct-73","62.1","82.4","42.1"
"Nov-73","62.1","82.4","42.1"
"Dec-73","62.1","82.4","42.1"
"Jan-74","62.2","82.2","42.7"
"Feb-74","62.2","82.2","42.7"
"Mar-74","62.2","82.2","42.7"
"Apr-74","62.2","81.9","42.8"
"May-74","62.2","81.9","42.8"
"Jun-74","62.2","81.9","42.8"
"Jul-74","61.8","81.4","42.6"
"Aug-74","61.8","81.4","42.6"
"Sep-74","61.8","81.4","42.6"
"Oct-74","62.2","81.6","43.3"
"Nov-74","62.2","81.6","43.3"
"Dec-74","62.2","81.6","43.3"
"Jan-75","62.1","81.5","43.2"
"Feb-75","62.1","81.5","43.2"
"Mar-75","62.1","81.5","43.2"
"Apr-75","62.0","81.2","43.2"
"May-75","62.0","81.2","43.2"
"Jun-75","62.0","81.2","43.2"
"Jul-75","62.0","81.0","43.5"
"Aug-75","62.0","81.0","43.5"
"Sep-75","62.0","81.0","43.5"
"Oct-75","62.7","81.0","44.8"
"Nov-75","62.7","81.0","44.8"
"Dec-75","62.7","81.0","44.8"
"Jan-76","62.3","80.8","44.2"
"Feb-76","62.3","80.8","44.2"
"Mar-76","62.3","80.8","44.2"
"Apr-76","62.2","80.8","43.9"
"May-76","62.2","80.8","43.9"
"Jun-76","62.2","80.8","43.9"
"Jul-76","61.7","80.4","43.4"
"Aug-76","61.7","80.4","43.4"
"Sep-76","61.7","80.4","43.4"
"Oct-76","61.6","80.5","43.1"
"Nov-76","61.6","80.5","43.1"
"Dec-76","61.6","80.5","43.1"
"Jan-77","62.0","80.3","44.0"
"Feb-77","62.0","80.3","44.0"
"Mar-77","62.0","80.3","44.0"
"Apr-77","62.2","80.4","44.4"
"May-77","62.2","80.4","44.4"
"Jun-77","62.2","80.4","44.4"
"Jul-77","62.1","80.2","44.5"
"Aug-77","62.1","80.2","44.5"
"Sep-77","62.1","80.2","44.5"
"Oct-77","61.5","79.7","43.8"
"Nov-77","61.5","79.7","43.8"
"Dec-77","61.5","79.7","43.8"
"Jan-78","61.3","79.5","43.5"
"Feb-78","61.2","79.5","43.5"
"Mar-78","61.0","79.1","43.3"
"Apr-78","61.2","79.2","43.6"
"May-78","61.1","79.0","43.7"
"Jun-78","61.1","79.0","43.6"
"Jul-78","60.9","78.7","43.7"
"Aug-78","61.1","78.8","43.9"
"Sep-78","60.8","78.5","43.6"
"Oct-78","60.7","78.4","43.4"
"Nov-78","60.6","78.4","43.3"
"Dec-78","60.8","78.6","43.6"
"Jan-79","60.7","78.4","43.5"
"Feb-79","60.7","78.4","43.4"
"Mar-79","60.5","78.4","43.2"
"Apr-79","60.7","78.6","43.3"
"May-79","60.4","78.4","43.0"
"Jun-79","60.7","78.4","43.4"
"Jul-79","60.6","78.3","43.4"
"Aug-79","60.6","78.4","43.3"
"Sep-79","60.6","78.2","43.4"
"Oct-79","61.0","78.3","44.1"
"Nov-79","60.9","78.2","44.1"
"Dec-79","60.9","78.3","44.0"
"Jan-80","61.0","78.4","44.2"
"Feb-80","61.0","78.2","44.4"
"Mar-80","61.0","78.1","44.4"
"Apr-80","61.2","78.3","44.6"
"May-80","61.4","78.6","44.6"
"Jun-80","61.4","78.3","45.0"
"Jul-80","61.5","78.3","45.1"
"Aug-80","61.5","78.5","45.1"
"Sep-80","61.4","78.3","45.1"
"Oct-80","61.2","78.1","44.7"
"Nov-80","61.1","78.1","44.7"
"Dec-80","61.4","78.5","44.7"
"Jan-81","61.2","78.4","44.5"
"Feb-81","61.1","78.2","44.4"
"Mar-81","61.1","78.3","44.3"
"Apr-81","61.1","78.1","44.6"
"May-81","61.1","78.1","44.6"
"Jun-81","61.0","77.9","44.6"
"Jul-81","61.1","78.1","44.7"
"Aug-81","61.2","78.1","44.8"
"Sep-81","61.3","78.1","45.1"
"Oct-81","61.0","77.5","44.9"
"Nov-81","60.8","77.5","44.7"
"Dec-81","60.8","77.4","44.8"
"Jan-82","61.1","77.8","44.9"
"Feb-82","61.0","77.7","44.8"
"Mar-82","60.8","77.5","44.6"
"Apr-82","60.9","77.5","44.7"
"May-82","60.7","77.3","44.6"
"Jun-82","60.6","77.2","44.5"
"Jul-82","60.6","77.3","44.4"
"Aug-82","60.5","77.2","44.4"
"Sep-82","60.6","77.4","44.3"
"Oct-82","61.1","77.7","45.0"
"Nov-82","60.7","77.4","44.5"
"Dec-82","60.6","77.2","44.6"
"Jan-83","60.5","77.0","44.4"
"Feb-83","60.5","77.0","44.6"
"Mar-83","60.3","76.7","44.4"
"Apr-83","60.1","76.7","44.0"
"May-83","60.5","76.8","44.6"
"Jun-83","60.3","76.7","44.5"
"Jul-83","60.5","76.8","44.8"
"Aug-83","60.3","76.5","44.6"
"Sep-83","60.6","76.8","44.9"
"Oct-83","60.3","76.5","44.7"
"Nov-83","60.4","76.4","44.8"
"Dec-83","60.4","76.5","44.8"
"Jan-84","60.3","76.5","44.6"
"Feb-84","60.3","76.4","44.6"
"Mar-84","60.6","76.6","45.0"
"Apr-84","60.7","76.4","45.3"
"May-84","60.5","76.4","45.1"
"Jun-84","60.7","76.5","45.5"
"Jul-84","60.6","76.4","45.3"
"Aug-84","60.4","76.3","45.1"
"Sep-84","60.6","76.0","45.6"
"Oct-84","60.4","75.9","45.4"
"Nov-84","60.5","75.9","45.5"
"Dec-84","60.3","75.5","45.5"
"Jan-85","60.3","75.5","45.5"
"Feb-85","60.7","75.7","46.0"
"Mar-85","60.5","75.7","45.8"
"Apr-85","60.4","75.6","45.5"
"May-85","60.6","75.7","45.9"
"Jun-85","60.7","75.8","46.1"
"Jul-85","60.7","75.5","46.3"
"Aug-85","60.9","75.9","46.3"
"Sep-85","61.1","76.1","46.6"
"Oct-85","60.7","75.4","46.5"
"Nov-85","61.6","76.3","47.3"
"Dec-85","61.0","75.5","47.0"
"Jan-86","61.4","75.9","47.2"
"Feb-86","61.6","75.8","47.8"
"Mar-86","61.5","75.9","47.6"
"Apr-86","62.0","76.0","48.4"
"May-86","61.8","75.7","48.2"
"Jun-86","61.9","76.1","48.2"
"Jul-86","62.0","75.7","48.6"
"Aug-86","61.8","75.8","48.2"
"Sep-86","62.0","75.9","48.4"
"Oct-86","62.1","75.7","48.8"
"Nov-86","61.9","75.5","48.6"
"Dec-86","61.9","75.7","48.5"
"Jan-87","61.7","75.3","48.4"
"Feb-87","61.9","75.3","48.8"
"Mar-87","62.0","75.6","48.8"
"Apr-87","62.0","75.3","48.9"
"May-87","61.8","75.3","48.7"
"Jun-87","61.9","75.5","48.7"
"Jul-87","62.3","75.8","49.1"
"Aug-87","62.0","75.4","48.9"
"Sep-87","61.5","74.9","48.6"
"Oct-87","61.9","75.0","49.2"
"Nov-87","61.6","74.7","48.9"
"Dec-87","62.0","75.2","49.2"
"Jan-88","62.4","75.5","49.6"
"Feb-88","62.0","75.0","49.3"
"Mar-88","62.3","75.4","49.6"
"Apr-88","62.8","75.8","50.1"
"May-88","62.2","75.1","49.6"
"Jun-88","62.3","75.3","49.7"
"Jul-88","61.8","75.0","49.0"
"Aug-88","62.2","74.9","49.9"
"Sep-88","62.4","75.0","50.1"
"Oct-88","62.3","75.0","50.0"
"Nov-88","62.3","75.0","49.9"
"Dec-88","62.6","75.1","50.3"
"Jan-89","62.7","75.2","50.6"
"Feb-89","62.9","75.5","50.8"
"Mar-89","62.8","75.3","50.7"
"Apr-89","62.9","75.4","50.7"
"May-89","63.3","75.6","51.3"
"Jun-89","63.0","75.4","51.0"
"Jul-89","63.2","75.6","51.1"
"Aug-89","63.3","75.6","51.4"
"Sep-89","63.4","75.5","51.5"
"Oct-89","63.3","75.3","51.6"
"Nov-89","63.5","75.6","51.8"
"Dec-89","63.3","75.3","51.7"
"Jan-90","63.5","75.6","51.8"
"Feb-90","63.6","75.4","52.2"
"Mar-90","63.5","75.4","52.0"
"Apr-90","63.6","75.5","52.0"
"May-90","63.9","75.8","52.3"
"Jun-90","63.9","75.7","52.4"
"Jul-90","64.1","75.9","52.7"
"Aug-90","63.9","75.7","52.5"
"Sep-90","63.7","75.7","52.1"
"Oct-90","63.7","75.6","52.2"
"Nov-90","63.7","75.6","52.2"
"Dec-90","63.7","75.4","52.3"
"Jan-91","63.3","75.0","52.0"
"Feb-91","63.5","75.2","52.2"
"Mar-91","63.4","75.0","52.0"
"Apr-91","63.7","75.3","52.5"
"May-91","63.4","74.9","52.2"
"Jun-91","63.0","74.5","52.0"
"Jul-91","62.8","74.2","51.8"
"Aug-91","62.9","74.4","51.7"
"Sep-91","63.1","74.4","52.1"
"Oct-91","62.7","74.2","51.6"
"Nov-91","62.7","74.2","51.5"
"Dec-91","63.0","74.3","52.0"
"Jan-92","62.9","74.1","52.0"
"Feb-92","63.0","74.3","52.1"
"Mar-92","62.8","74.2","51.9"
"Apr-92","62.7","74.1","51.7"
"May-92","62.7","74.2","51.7"
"Jun-92","62.9","74.3","51.9"
"Jul-92","63.3","74.6","52.2"
"Aug-92","63.1","74.3","52.2"
"Sep-92","62.6","73.8","51.8"
"Oct-92","63.0","74.3","52.1"
"Nov-92","62.4","73.5","51.6"
"Dec-92","62.6","73.8","51.9"
"Jan-93","62.7","73.9","51.9"
"Feb-93","62.2","73.3","51.4"
"Mar-93","62.4","73.5","51.6"
"Apr-93","62.2","73.5","51.2"
"May-93","62.1","73.4","51.2"
"Jun-93","62.4","73.7","51.4"
"Jul-93","62.3","73.6","51.3"
"Aug-93","62.4","73.4","51.8"
"Sep-93","62.4","73.3","51.8"
"Oct-93","62.9","73.7","52.3"
"Nov-93","62.9","73.7","52.4"
"Dec-93","62.8","73.8","52.2"
"Jan-94","62.8","73.7","52.2"
"Feb-94","62.8","73.5","52.4"
"Mar-94","62.8","73.6","52.4"
"Apr-94","62.6","73.4","52.1"
"May-94","62.7","73.4","52.3"
"Jun-94","62.9","73.6","52.4"
"Jul-94","63.2","73.8","53.0"
"Aug-94","62.9","73.6","52.6"
"Sep-94","63.2","73.6","53.1"
"Oct-94","62.9","73.5","52.7"
"Nov-94","63.0","73.5","52.8"
"Dec-94","63.2","73.6","53.0"
"Jan-95","63.1","73.7","52.9"
"Feb-95","63.4","74.0","53.2"
"Mar-95","63.2","73.6","53.2"
"Apr-95","63.4","73.8","53.3"
"May-95","63.5","73.8","53.5"
"Jun-95","63.6","73.8","53.7"
"Jul-95","63.6","73.8","53.8"
"Aug-95","63.7","73.9","53.8"
"Sep-95","63.6","74.0","53.5"
"Oct-95","63.6","73.6","53.8"
"Nov-95","64.0","74.0","54.3"
"Dec-95","63.7","73.8","53.9"
"Jan-96","63.8","73.9","54.0"
"Feb-96","63.7","73.9","53.8"
"Mar-96","63.5","73.5","53.8"
"Apr-96","63.7","73.9","53.9"
"May-96","63.6","73.6","53.8"
"Jun-96","63.4","73.6","53.6"
"Jul-96","63.6","73.6","53.9"
"Aug-96","63.6","73.8","53.7"
"Sep-96","63.4","73.4","53.7"
"Oct-96","63.5","73.4","53.9"
"Nov-96","63.2","73.3","53.5"
"Dec-96","63.4","73.3","53.8"
"Jan-97","63.4","73.3","53.8"
"Feb-97","63.4","73.2","53.9"
"Mar-97","63.2","73.2","53.6"
"Apr-97","63.1","73.0","53.6"
"May-97","63.1","72.9","53.6"
"Jun-97","62.9","72.8","53.3"
"Jul-97","63.1","73.0","53.6"
"Aug-97","62.9","72.6","53.4"
"Sep-97","63.0","72.8","53.6"
"Oct-97","62.9","72.7","53.3"
"Nov-97","63.2","73.2","53.6"
"Dec-97","63.0","72.9","53.4"
"Jan-98","62.9","72.8","53.4"
"Feb-98","62.9","72.8","53.3"
"Mar-98","62.9","72.8","53.3"
"Apr-98","62.9","72.5","53.5"
"May-98","62.9","72.7","53.5"
"Jun-98","63.1","72.8","53.7"
"Jul-98","63.2","72.8","53.9"
"Aug-98","63.1","72.6","53.9"
"Sep-98","63.2","72.9","53.9"
"Oct-98","63.0","72.5","53.9"
"Nov-98","63.0","72.7","53.7"
"Dec-98","62.8","72.3","53.7"
"Jan-99","62.7","72.2","53.5"
"Feb-99","62.7","72.3","53.4"
"Mar-99","62.7","72.3","53.4"
"Apr-99","62.6","72.2","53.4"
"May-99","62.5","72.1","53.3"
"Jun-99","62.6","72.2","53.3"
"Jul-99","62.7","72.1","53.5"
"Aug-99","62.8","72.4","53.6"
"Sep-99","62.9","72.3","53.9"
"Oct-99","63.0","72.2","54.0"
"Nov-99","62.7","71.9","53.9"
"Dec-99","63.1","72.3","54.2"
"Jan-00","62.7","71.9","53.8"
"Feb-00","62.9","72.0","54.0"
"Mar-00","63.1","72.0","54.5"
"Apr-00","63.2","72.1","54.6"
"May-00","63.1","72.0","54.5"
"Jun-00","63.1","72.0","54.5"
"Jul-00","63.5","72.4","54.9"
"Aug-00","63.5","72.2","55.1"
"Sep-00","63.3","72.3","54.8"
"Oct-00","63.1","72.0","54.6"
"Nov-00","62.8","71.8","54.1"
"Dec-00","63.0","71.9","54.4"
"Jan-01","62.9","71.8","54.4"
"Feb-01","63.0","71.8","54.7"
"Mar-01","63.0","71.4","54.9"
"Apr-01","63.5","71.9","55.4"
"May-01","63.5","71.9","55.4"
"Jun-01","63.4","71.8","55.3"
"Jul-01","63.4","72.1","55.1"
"Aug-01","63.5","72.0","55.3"
"Sep-01","63.3","71.9","55.0"
"Oct-01","63.6","72.1","55.3"
"Nov-01","63.5","72.0","55.3"
"Dec-01","63.3","71.8","55.1"
"Jan-02","63.4","71.8","55.3"
"Feb-02","63.3","72.0","55.0"
"Mar-02","63.2","71.8","54.9"
"Apr-02","63.0","71.7","54.6"
"May-02","63.1","71.8","54.7"
"Jun-02","63.3","71.9","55.0"
"Jul-02","63.1","71.6","54.9"
"Aug-02","63.5","71.8","55.5"
"Sep-02","63.4","71.6","55.5"
"Oct-02","63.3","71.4","55.5"
"Nov-02","63.6","71.7","55.7"
"Dec-02","63.8","71.9","56.0"
"Jan-03","64.0","71.9","56.3"
"Feb-03","64.0","71.9","56.3"
"Mar-03","63.7","71.7","56.0"
"Apr-03","63.5","71.4","56.0"
"May-03","63.6","71.4","56.2"
"Jun-03","63.4","71.3","55.8"
"Jul-03","63.3","71.2","55.7"
"Aug-03","63.4","71.3","55.8"
"Sep-03","63.4","71.3","55.8"
"Oct-03","63.5","71.6","55.7"
"Nov-03","63.3","71.3","55.6"
"Dec-03","63.5","71.6","55.6"
"Jan-04","63.3","71.6","55.3"
"Feb-04","63.3","71.5","55.4"
"Mar-04","63.3","71.4","55.5"
"Apr-04","63.4","71.5","55.5"
"May-04","63.3","71.4","55.5"
"Jun-04","63.4","71.6","55.5"
"Jul-04","63.4","71.4","55.7"
"Aug-04","63.3","71.1","55.7"
"Sep-04","63.5","71.5","55.7"
"Oct-04","63.6","71.5","56.0"
"Nov-04","63.8","71.7","56.2"
"Dec-04","63.7","71.5","56.2"
"Jan-05","64.0","71.8","56.5"
"Feb-05","64.1","71.8","56.7"
"Mar-05","64.3","71.9","56.9"
"Apr-05","64.5","72.3","56.9"
"May-05","64.3","72.0","56.8"
"Jun-05","64.4","72.1","57.0"
"Jul-05","64.5","72.0","57.1"
"Aug-05","64.6","72.4","57.1"
"Sep-05","64.5","72.2","57.1"
"Oct-05","64.5","72.0","57.1"
"Nov-05","64.4","72.0","57.0"
"Dec-05","64.5","72.1","57.1"
"Jan-06","64.4","71.9","57.2"
"Feb-06","64.5","72.2","57.1"
"Mar-06","64.5","72.2","57.1"
"Apr-06","64.6","72.1","57.3"
"May-06","64.6","71.9","57.4"
"Jun-06","64.8","72.2","57.6"
"Jul-06","64.9","72.4","57.7"
"Aug-06","64.9","72.4","57.8"
"Sep-06","65.1","72.5","57.9"
"Oct-06","64.7","72.1","57.5"
"Nov-06","64.8","72.2","57.7"
"Dec-06","65.1","72.5","58.0"
"Jan-07","64.9","72.3","57.8"
"Feb-07","65.0","72.3","58.0"
"Mar-07","65.0","72.4","57.8"
"Apr-07","65.0","72.4","57.8"
"May-07","65.0","72.4","57.9"
"Jun-07","65.1","72.6","57.9"
"Jul-07","65.1","72.5","58.0"
"Aug-07","65.3","72.7","58.1"
"Sep-07","65.3","72.5","58.3"
"Oct-07","65.2","72.3","58.3"
"Nov-07","65.5","72.8","58.5"
"Dec-07","65.5","72.8","58.4"
"Jan-08","65.4","72.6","58.5"
"Feb-08","65.4","72.6","58.4"
"Mar-08","65.4","72.6","58.4"
"Apr-08","65.7","72.7","58.8"
"May-08","65.4","72.5","58.4"
"Jun-08","65.6","72.8","58.5"
"Jul-08","65.6","72.5","58.8"
"Aug-08","65.5","72.6","58.7"
"Sep-08","65.5","72.7","58.5"
"Oct-08","65.4","72.5","58.5"
"Nov-08","65.4","72.4","58.6"
"Dec-08","65.4","72.5","58.5"
"Jan-09","65.5","72.4","58.8"
"Feb-09","65.7","72.4","59.2"
"Mar-09","65.7","72.4","59.1"
"Apr-09","65.6","72.4","58.9"
"May-09","65.5","72.4","58.9"
"Jun-09","65.4","72.2","58.7"
"Jul-09","65.4","72.3","58.7"
"Aug-09","65.3","72.2","58.5"
"Sep-09","65.3","72.2","58.5"
"Oct-09","65.2","72.1","58.5"
"Nov-09","65.3","72.1","58.6"
"Dec-09","65.4","72.3","58.6"
"Jan-10","65.4","72.4","58.6"
"Feb-10","65.2","72.3","58.3"
"Mar-10","65.2","72.2","58.4"
"Apr-10","65.3","72.3","58.4"
"May-10","65.0","72.0","58.3"
"Jun-10","65.2","72.1","58.5"
"Jul-10","65.4","72.2","58.7"
"Aug-10","65.4","72.2","58.7"
"Sep-10","65.5","72.5","58.7"
"Oct-10","65.7","72.6","58.9"
"Nov-10","65.8","72.7","59.1"
"Dec-10","65.6","72.6","58.8"
"Jan-11","65.8","72.8","58.9"
"Feb-11","65.5","72.5","58.7"
"Mar-11","65.6","72.4","59.0"
"Apr-11","65.4","72.2","58.7"
"May-11","65.3","72.0","58.7"
"Jun-11","65.3","71.9","58.9"
"Jul-11","65.4","72.0","59.0"
"Aug-11","65.5","72.2","59.0"
"Sep-11","65.5","72.1","59.1"
"Oct-11","65.4","72.1","58.9"
"Nov-11","65.4","72.0","58.9"
"Dec-11","65.1","71.8","58.6"
"Jan-12","65.3","72.2","58.7"
"Feb-12","65.1","71.8","58.6"
"Mar-12","65.3","71.8","59.1"
"Apr-12","65.1","71.7","58.6"
"May-12","65.3","71.8","59.1"
"Jun-12","65.1","71.6","58.8"
"Jul-12","65.1","71.5","58.8"
"Aug-12","65.0","71.6","58.6"
"Sep-12","65.3","71.8","59.0"
"Oct-12","65.2","71.8","58.8"
"Nov-12","65.0","71.5","58.6"
"Dec-12","65.0","71.7","58.6"
"Jan-13","65.3","72.0","58.8"
"Feb-13","65.2","71.7","58.9"
"Mar-13","65.1","71.5","58.8"
"Apr-13","65.1","71.5","59.0"
"May-13","65.0","71.6","58.7"
"Jun-13","65.1","71.6","58.7"
"Jul-13","64.9","71.3","58.7"
"Aug-13","64.9","71.3","58.7"
"Sep-13","64.8","71.2","58.7"
"Oct-13","64.8","71.2","58.7"
"Nov-13","64.6","71.0","58.4"
"Dec-13","64.5","70.9","58.2"
"Jan-14","64.6","70.8","58.5"
"Feb-14","64.6","70.7","58.6"
"Mar-14","64.7","70.9","58.8"
"Apr-14","64.7","71.0","58.5"
"May-14","64.6","70.7","58.6"
"Jun-14","64.7","70.9","58.7"
"Jul-14","64.8","71.0","58.7"
"Aug-14","64.7","70.9","58.6"
"Sep-14","64.7","70.8","58.8"
"Oct-14","64.7","70.8","58.7"
"Nov-14","64.5","71.1","58.2"
"Dec-14","64.6","70.8","58.6"
"Jan-15","64.8","71.1","58.6"
"Feb-15","64.9","71.2","58.8"
"Mar-15","64.9","71.3","58.6"
"Apr-15","64.8","71.1","58.7"
"May-15","64.8","71.0","58.9"
"Jun-15","64.8","70.8","58.9"
"Jul-15","65.1","71.1","59.3"
"Aug-15","64.9","70.9","59.1"
"Sep-15","65.0","71.0","59.2"
"Oct-15","65.2","71.1","59.4"
"Nov-15","65.2","70.9","59.7"
"Dec-15","65.1","70.9","59.5"
"Jan-16","65.3","71.3","59.4"
"Feb-16","65.0","70.7","59.4"
"Mar-16","64.9","70.8","59.3"
"Apr-16","64.9","70.5","59.4"
"May-16","64.8","70.6","59.3"
"Jun-16","64.9","70.4","59.6"
"Jul-16","65.0","70.6","59.5"
"Aug-16","64.7","70.4","59.1"
"Sep-16","64.5","70.1","59.1"
"Oct-16","64.5","70.3","59.0"
"Nov-16","64.7","70.3","59.3"
"Dec-16","64.8","70.5","59.3"
"Jan-17","64.7","70.3","59.4"
"Feb-17","64.7","70.4","59.2"
"Mar-17","64.9","70.5","59.5"
"Apr-17","64.9","70.6","59.4"
"May-17","64.9","70.6","59.5"
"Jun-17","65.1","70.6","59.8"
"Jul-17","65.2","70.8","59.7"
"Aug-17","65.3","70.8","60.0"
"Sep-17","65.4","70.8","60.1"
"Oct-17","65.3","70.6","60.1"
"Nov-17","65.5","70.9","60.3"
"Dec-17","65.8","71.1","60.6"
"Jan-18","65.8","71.3","60.6"
"Feb-18","65.7","71.0","60.5"
"Mar-18","65.6","70.8","60.5"
"Apr-18","65.6","70.9","60.5"
"May-18","65.4","70.7","60.3"
"Jun-18","65.7","71.0","60.5"
"Jul-18","65.5","71.0","60.3"
"Aug-18","65.7","71.1","60.4"
"Sep-18","65.5","70.9","60.3"
"Oct-18","65.5","70.9","60.4"
"Nov-18","65.7","71.0","60.5"
"Dec-18","65.6","71.0","60.5"
"Jan-19","65.8","71.0","60.7"
"Feb-19","65.5","70.8","60.5"
"Mar-19","65.7","70.9","60.6"
"Apr-19","65.9","71.0","61.0"
"May-19","66.0","71.5","60.6"
"Jun-19","66.0","71.3","60.8"
"Jul-19","66.1","71.4","60.9"
"Aug-19","66.2","71.4","61.2"
"Sep-19","66.2","71.3","61.2"
"Oct-19","65.9","70.9","61.1"
"Nov-19","65.9","70.9","61.1"
"Dec-19","65.9","70.9","61.1"
"Jan-20","66.1","70.8","61.5"
"Feb-20","65.8","70.8","61.1"
"Mar-20","65.8","70.7","61.1"
"Apr-20","63.6","68.8","58.4"
"May-20","62.5","67.9","57.3"
"Jun-20","64.0","69.1","59.0"
"Jul-20","64.7","69.8","59.8"
"Aug-20","65.0","70.0","60.2"
"Sep-20","64.9","69.9","60.1"
"Oct-20","65.7","70.8","60.8"
"Nov-20","66.0","70.9","61.3"
"Dec-20","66.0","71.0","61.3"
"Jan-21","66.1","71.2","61.2"
"Feb-21","66.0","71.0","61.2"
"Mar-21","66.2","70.9","61.7"
"Apr-21","66.0","70.8","61.2"
"May-21","66.1","70.9","61.5"
"Jun-21","66.2","71.1","61.4"
"Jul-21","66.1","70.9","61.4"
"Aug-21","65.3","70.2","60.5"
"Sep-21","64.7","69.5","60.0"
"Oct-21","64.7","69.7","59.9"
"Nov-21","66.1","70.7","61.7"
"Dec-21","66.2","70.9","61.6"
"Jan-22","66.3","70.7","62.2"
"Feb-22","66.5","70.9","62.3"
"Mar-22","66.4","70.9","62.1"
"Apr-22","66.5","70.9","62.2"
"May-22","66.7","71.3","62.2"
"Jun-22","66.8","71.3","62.5"
"Jul-22","66.6","71.1","62.4"
"Aug-22","66.7","71.2","62.4"
"Sep-22","66.7","71.3","62.3"
"Oct-22","66.6","71.1","62.3"
"Nov-22","66.8","71.2","62.6"
"Dec-22","66.7","71.2","62.3"
"Jan-23","66.7","71.4","62.3"
"Feb-23","66.7","71.4","62.2"
"Mar-23","66.9","71.3","62.6"
"Apr-23","66.8","71.3","62.5"
"May-23","67.0","71.4","62.7"
"Jun-23","66.9","71.4","62.6"
"Jul-23","66.9","71.5","62.5"
"Aug-23","67.0","71.7","62.5"
"Sep-23","66.8","71.0","62.7"
"Oct-23","67.0","71.3","62.8"
"Nov-23","67.3","71.7","63.0"
"Dec-23","66.8","71.2","62.6"
"Jan-24","66.8","71.1","62.6"

"Source: Australian Bureau of Statistics, Labour Force, Australia January 2024"